X,Y,observ,longitud,latitud,objectid,num_est,nom_est,id_trazado,long_est,ancho_est,area_est,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,cap_art,globalid,created_user,created_date,last_edited_user,last_edited_date
1000325.4654,1007757.54,Valores de capacidad de buses en proceso de actualización,-74.07457455,4.66635264,624,07103,AV. Chile,TZ008,173.64,4,694.56,1,1,4,KR 30 - CL 72,2,0,0,2,7103,120,3,224,{88CDEE8D-FC67-43E6-B91B-1385BB3BD488},,,,
997610.17,1005603.8612,Valores de capacidad de buses en proceso de actualización,-74.09904645,4.64687639,625,06103,CAN,TZ016,96.48,3,289.44,1,1,4,KR 60,1,0,0,1,6103,120,2,140,{D7AC3687-AAC2-4153-801B-6DB705329D88},,,,
999866.6112,1005440.2936,Valores de capacidad de buses en proceso de actualización,-74.07871009,4.64539756,626,07106,Campín - UAN,TZ008,122.82,4,491.28,1,1,4,KR 30 - CL 53,2,0,0,2,7106,120,2,152,{992C8526-1970-4933-9EB9-826D966F6999},,,,
1000666.6399,1001625.4027,Valores de capacidad de buses en proceso de actualización,-74.07150007,4.61089909,627,10008,San Diego,TZ018,348.09,4,1392.36,1,1,4,KR 10 - CL 23,2,1,1,0,10008,144,2,144,{667C3BFD-2FBE-40E7-AC18-8D327C4F17DF},,,,
997946.3767,1011384.4599,Valores de capacidad de buses en proceso de actualización,-74.09601773,4.69915096,628,04100,Granja - Kr 77,TZ005,385,4,1540,1,1,2,KR 77 Bis,2,1,0,1,4100,144,4,248,{5BB6ECCC-FCBC-474C-8399-84E490AC3502},,,,
998184.8882,1001712.1938,Valores de capacidad de buses en proceso de actualización,-74.09386595,4.61168378,629,07111,Ricaurte - NQS,TZ008,187.96,5.3,996.188,1,1,3,KR 30 - CL 10,2,0,1,1,7111,168,3,224,{8FC1BA98-09F5-478D-B152-48EB7A49A72E},,,,
996534.9816,1012222.0875,Valores de capacidad de buses en proceso de actualización,-74.10873932,4.70672525,630,04001,Quirigua,TZ005,45.75,4,183,1,1,4,KR 94,1,0,0,1,4001,72,1,80,{0DBE9B89-0FC6-4373-9E62-1C9AA2EE2D5B},,,,
1001449.5663,1010037.2708,Valores de capacidad de buses en proceso de actualización,-74.06444284,4.68696834,631,03011,Suba - Calle 100,TZ003,89.39,4,357.56,1,1,4,AV Suba - CL 100,1,1,0,0,3011,144,2,160,{022C923E-4BDF-4C7E-84D1-8C56488B9B3A},,,,
1000688.2377,1008177.5724,Valores de capacidad de buses en proceso de actualización,-74.07130492,4.67015101,632,07102,Calle 75 - Zona M,TZ008,115.81,4,463.24,1,1,4,KR 30 - CL 75A,1,0,0,1,7102,120,2,152,{9DEDF7C6-6E14-49C4-9F40-C2FEFA46DC97},,,,
998932.2282,1010807.3933,Valores de capacidad de buses en proceso de actualización,-74.08713194,4.69393268,633,04102,AV. Boyacá,TZ005,168.15,4,672.6,1,1,4,TV 69 Bis,1,0,0,1,4102,144,2,160,{F8FF211B-E374-411B-9560-47076FCA6CA6},,,,
995275.9857,997743.587200001,Valores de capacidad de buses en proceso de actualización,-74.12007924,4.57579415,634,09100,Calle 40 Sur,TZ012,179.92,4,719.68,1,1,2,CL 38 Sur - CL 40 Sur,2,2,0,0,9100,168,3,224,{E51B4CD7-37E8-426A-BD1A-77F3CA508E05},,,,
993706.7968,1003750.885,Valores de capacidad de buses en proceso de actualización,-74.13422457,4.6301178,635,05102,AV. Américas - AV. Boyacá,TZ009,115.715,3,347.145,1,1,4,AV Americas - KR 71,1,0,0,1,5102,120,2,152,{C635CA0E-E31A-43A4-8E97-328E02869404},,,,
994157.3658,1003702.1316,Valores de capacidad de buses en proceso de actualización,-74.13016385,4.62967723,636,05103,Marsella,TZ009,173.715,3,521.145,1,1,4,AV Americas - KR 69C,1,0,0,1,5103,120,3,200,{0A92923C-6E4D-4A63-B02C-EFFD93D625A2},,,,
